Day,Time_Period,Hour,Hour_Label,Total_Flow,Mean_Inflow,Mean_Outflow,IO_Balance,OD_Nonzero_Ratio,Top10pct_OD_Ratio,Inflow_Gini,Outflow_Gini,Hub_Inflow_Ratio,Hub_Outflow_Ratio,Self_Loop_Ratio
2,Midday,9,09:00–09:59,465259,730.3908948194662,730.3908948194662,9420.371496427528,0.23177719342778774,0.5536185221564763,0.6222241744367208,0.4990720534609607,0.024130645511372954,0.016010437197311583,0.0077870605404564185
2,Midday,10,10:00–10:59,324900,510.04709576138146,510.04709576138146,1.0114993044436191,0.20832542653578762,0.501114188981225,0.5757512636420432,0.4774380620918017,0.016845183133219928,0.01073253308707069,0.011809787626925793
2,Midday,11,11:00–11:59,317910,499.07378335949767,499.07378335949767,1570.8264153695754,0.20765755885737944,0.5024723978484477,0.5506803733390773,0.485210751717445,0.015985656317775515,0.012821238715319363,0.013305652543130743
2,Midday,12,12:00–12:59,343367,539.0376766091052,539.0376766091052,17269.40327224252,0.21527272906505918,0.5032982202716044,0.5379620020098409,0.4960812876167085,0.015109198030052074,0.012715258018351456,0.012753118383500007
2,Midday,13,13:00–13:59,347223,545.0910518053375,545.0910518053375,9420.144349310855,0.21373244382887802,0.5135921295536298,0.5399573311549188,0.5180392962324788,0.015143006079622769,0.013527329698742516,0.012703651543783955
2,Midday,14,14:00–14:59,356078,558.9921507064364,558.9921507064364,1.0466580967141346,0.21935140437046693,0.5136458865754132,0.5233617829646148,0.5349829028252616,0.015712849431821923,0.014783277821110028,0.015586472626740247
2,Midday,15,15:00–15:59,433490,680.5180533751962,680.5180533751962,6280.521428817728,0.24485852788162724,0.5274239313478973,0.5033963146689424,0.5275824671961673,0.013896514337092212,0.014996885741274316,0.01285842810673174
2,Midday,16,16:00–16:59,541925,850.74568288854,850.74568288854,18839.395023849556,0.28088148675724367,0.5294053605203672,0.5059784075446496,0.5241958600254095,0.012402085159362638,0.014217834571178267,0.010311389952465172
2,PM Peak,17,17:00–17:59,764414,1200.021978021978,1200.021978021978,1.24430685647439,0.31040567416436443,0.5585088708474727,0.5167530327116625,0.5679247084906471,0.012716930877753786,0.016535542258492734,0.007336338685571776
2,PM Peak,18,18:00–18:59,955042,1499.281004709576,1499.281004709576,1.4567133126186742,0.3118818835347205,0.591301743797655,0.5273802830149641,0.6168472122591717,0.013048640792747283,0.019102824797214046,0.006102349425463904
2,Evening,19,19:00–19:59,455620,715.2590266875981,715.2590266875981,1.4054262231038674,0.22740524781341107,0.5466002370396383,0.5186753027616654,0.6078530423153449,0.013750493832549601,0.021770334928181884,0.008520258109809666
2,Evening,20,20:00–20:59,344027,540.0737833594976,540.0737833594976,1571.4580701533093,0.1988742363265799,0.5226857194348118,0.5042715081337465,0.6222547818626865,0.014214000645256871,0.02408531888478496,0.010098044630188624
2,Evening,21,21:00–21:59,329408,517.1240188383046,517.1240188383046,14130.585942987651,0.18865167127109267,0.5241615261317272,0.5099857936479131,0.6562806243688311,0.014556416358999914,0.025406183213445312,0.010561370701347382
2,Evening,22,22:00–22:59,310668,487.70486656200944,487.70486656200944,9421.325873575319,0.16924900620796562,0.5248883052004069,0.5230085860055567,0.6918548270694521,0.015099720602008898,0.030749868026218503,0.013007454903585153
2,Evening,23,23:00–23:59,98815,155.12558869701726,155.12558869701726,262168.7017931298,0.06939416268862333,0.47778171330263625,0.5730021635501573,0.7275551549599012,0.019217730101510726,0.043930577341052164,0.02638263421518613
3,Early Morning,6,06:00–06:59,69910,109.74882260596546,109.74882260596546,61225.843047772425,0.09447739970278655,0.34447146330996997,0.5099434639782434,0.4653601052889934,0.02072664854783684,0.011901015591304522,0.01012730653683125
3,AM Peak,7,07:00–07:59,205151,322.0580847723705,322.0580847723705,3141.0582716464714,0.1872543245048291,0.4235611817636765,0.5092988174342188,0.45194318597672367,0.0186886732210972,0.011786440231771785,0.008876388611272299
3,AM Peak,8,08:00–08:59,313274,491.7959183673469,491.7959183673469,26688.94542608664,0.22173699814426434,0.47502186584268086,0.5472700938021574,0.46366065771624937,0.01846945485415812,0.013512133148574372,0.008679303102049072
3,Midday,9,09:00–09:59,359372,564.1632653061224,564.1632653061224,3141.0090063882403,0.22974401691602858,0.4991652104226261,0.5727526673907742,0.4662795508739465,0.018240152265568157,0.01274723684646342,0.010437652349068826
3,Midday,10,10:00–10:59,372798,585.2401883830455,585.2401883830455,1.1297966639715173,0.23347766832853176,0.4970091041260951,0.5764334914544949,0.4622006608045773,0.01898347094131679,0.01217817692151734,0.012677106636804174
3,Midday,11,11:00–11:59,404537,635.065934065934,635.065934065934,18839.263694179383,0.23607766980720557,0.5112659657831051,0.5755609231491183,0.46952137685988976,0.019308493413410125,0.013805906505427672,0.013037126393845218
3,Midday,12,12:00–12:59,438176,687.8744113029827,687.8744113029827,0.9497743847674549,0.24067141649559232,0.5226278938143577,0.5693332362465965,0.48535912997290553,0.02097558971732597,0.013551632220811839,0.012807638939574947
3,Midday,13,13:00–13:59,447608,702.6813186813187,702.6813186813187,20409.13019472447,0.2417483839327302,0.5264628871691301,0.559459945427131,0.5010584712958218,0.02095807045445801,0.015343782952906686,0.012439455952502102
3,Midday,14,14:00–14:59,437134,686.2386185243328,686.2386185243328,17269.403070611435,0.24328620471253348,0.5242831717505387,0.5490124381533292,0.514608832230954,0.020497147327774783,0.015297368770181919,0.013709754903499361
3,Midday,15,15:00–15:59,462832,726.5808477237049,726.5808477237049,0.9936565372397687,0.2535284854190438,0.5286021709821275,0.5423988232924768,0.5253840406688216,0.01897016628059648,0.016044698724340483,0.013041449165111657
3,Midday,16,16:00–16:59,501367,787.0753532182104,787.0753532182104,4710.603565384034,0.261939675036782,0.5328192721100511,0.5389197425604175,0.5374709750762765,0.017922998522004994,0.015477684011880563,0.012037090594291134
3,PM Peak,17,17:00–17:59,472967,742.4913657770801,742.4913657770801,1570.935969759661,0.24366080208197274,0.540523968902693,0.532731542708983,0.5478148217741345,0.018238058892019446,0.017119587624470377,0.01152088834947994
3,PM Peak,18,18:00–18:59,389924,612.1255886970173,612.1255886970173,6280.644419967093,0.21102154181319913,0.5396179768365117,0.5228980821235429,0.5742312268331259,0.016541685046274294,0.019639724664243186,0.011758701695684905
3,Evening,19,19:00–19:59,296001,464.679748822606,464.679748822606,1.3574603514992538,0.18378929883751594,0.5150759625812075,0.5128260497359154,0.599140355698128,0.01532765092004646,0.022020195877642236,0.012898605072236585
